GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_53
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_54
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_55
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_56
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_57
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_58
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_59
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_60
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_61
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_62
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_63
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_64
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_65
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_66
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_67
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_68
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_69
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_70
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_71
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_72
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_73
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_74
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_75
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_76
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_77
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_78
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_79
