GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_22
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_23
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_24
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_25
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_26
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_27
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_28
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_29
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_30
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_31
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_32
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_33
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_34
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_35
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_36
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_37
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_38
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_39
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_40
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_41
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_42
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_43
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_44
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_45
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_46
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_47
